onset	duration	face_type	rep_status	HED
0.004	n/a	n/a	n/a	Experiment-structure,((Def-expand/Right-sym-cond,(Condition-variable/Key-assignment,Description/Right index finger key press indicates a face with above average symmetry.,((Asymmetrical,Behavioral-evidence),(Index-finger,(Experiment-participant,Left-side-of))),((Behavioral-evidence,Symmetrical),(Index-finger,(Experiment-participant,Right-side-of))))),Onset),((Def-expand/Initialize-recording,(Recording)),Onset)
27.5589090909	n/a	scrambled_face	first_show	Sensory-event,Experimental-stimulus,((Def-expand/Face-image,(Description/A happy or neutral face in frontal or three-quarters frontal pose with long hair cropped presented as an achromatic foreground image on a black background with a white fixation cross superposed.,Visual-presentation,(Background-view,Black),(Foreground-view,((Center-of,Computer-screen),(Cross,White)),(Grayscale,(Face,Hair,Image))))),Onset),((Def-expand/Blink-inhibition-task,(Description/Do not blink while the face image is displayed.,Experiment-participant,Inhibit-blinks,Task)),Onset),((Def-expand/Fixation-task,(Description/Fixate on the cross at the screen center.,Experiment-participant,Task,(Cross,Fixate))),Onset),Experimental-trial/1,(Image,Pathname/s044.bmp)
28.2207272727	n/a	n/a	n/a	Agent-action,Participant-response,(Def-expand/Press-left-finger,(Description/The participant presses a key with the left index finger to indicate a face symmetry judgment.,(Index-finger,(Experiment-participant,Left-side-of)),(Keyboard-key,Press))),Experimental-trial/1
28.4352727273	n/a	n/a	n/a	Sensory-event,(Intended-effect,Cue),((Def-expand/Circle-only,(Description/A white circle on a black background in the center of the screen.,Visual-presentation,(Background-view,Black),(Foreground-view,((Center-of,Computer-screen),(Circle,White))))),Onset),((Def-expand/Face-image,(Description/A happy or neutral face in frontal or three-quarters frontal pose with long hair cropped presented as an achromatic foreground image on a black background with a white fixation cross superposed.,Visual-presentation,(Background-view,Black),(Foreground-view,((Center-of,Computer-screen),(Cross,White)),(Grayscale,(Face,Hair,Image))))),Offset),((Def-expand/Blink-inhibition-task,(Description/Do not blink while the face image is displayed.,Experiment-participant,Inhibit-blinks,Task)),Offset),((Def-expand/Fixation-task,(Description/Fixate on the cross at the screen center.,Experiment-participant,Task,(Cross,Fixate))),Offset),Experimental-trial/1,(Image,Pathname/circle.bmp)
30.1352727273	n/a	n/a	n/a	Sensory-event,(Intended-effect,Cue),((Def-expand/Cross-only,(Description/A white fixation cross on a black background in the center of the screen.,Visual-presentation,(Background-view,Black),(Foreground-view,(Center-of,Computer-screen),(Cross,White)))),Onset),((Def-expand/Fixation-task,(Description/Fixate on the cross at the screen center.,Experiment-participant,Task,(Cross,Fixate))),Onset),((Def-expand/Circle-only,(Description/A white circle on a black background in the center of the screen.,Visual-presentation,(Background-view,Black),(Foreground-view,((Center-of,Computer-screen),(Circle,White))))),Offset),Experimental-trial/2,(Image,Pathname/cross.bmp)
30.7489090909	n/a	scrambled_face	immediate_repeat	Sensory-event,Experimental-stimulus,((Def-expand/Face-image,(Description/A happy or neutral face in frontal or three-quarters frontal pose with long hair cropped presented as an achromatic foreground image on a black background with a white fixation cross superposed.,Visual-presentation,(Background-view,Black),(Foreground-view,((Center-of,Computer-screen),(Cross,White)),(Grayscale,(Face,Hair,Image))))),Onset),((Def-expand/Blink-inhibition-task,(Description/Do not blink while the face image is displayed.,Experiment-participant,Inhibit-blinks,Task)),Onset),((Def-expand/Cross-only,(Description/A white fixation cross on a black background in the center of the screen.,Visual-presentation,(Background-view,Black),(Foreground-view,(Center-of,Computer-screen),(Cross,White)))),Offset),Experimental-trial/2,(Face,Item-interval/1),(Image,Pathname/s044.bmp)
31.3243636364	n/a	n/a	n/a	Agent-action,Participant-response,(Def-expand/Press-left-finger,(Description/The participant presses a key with the left index finger to indicate a face symmetry judgment.,(Index-finger,(Experiment-participant,Left-side-of)),(Keyboard-key,Press))),Experimental-trial/2
31.6498181818	n/a	n/a	n/a	Sensory-event,(Intended-effect,Cue),((Def-expand/Circle-only,(Description/A white circle on a black background in the center of the screen.,Visual-presentation,(Background-view,Black),(Foreground-view,((Center-of,Computer-screen),(Circle,White))))),Onset),((Def-expand/Face-image,(Description/A happy or neutral face in frontal or three-quarters frontal pose with long hair cropped presented as an achromatic foreground image on a black background with a white fixation cross superposed.,Visual-presentation,(Background-view,Black),(Foreground-view,((Center-of,Computer-screen),(Cross,White)),(Grayscale,(Face,Hair,Image))))),Offset),((Def-expand/Blink-inhibition-task,(Description/Do not blink while the face image is displayed.,Experiment-participant,Inhibit-blinks,Task)),Offset),((Def-expand/Fixation-task,(Description/Fixate on the cross at the screen center.,Experiment-participant,Task,(Cross,Fixate))),Offset),Experimental-trial/2,(Image,Pathname/circle.bmp)
33.3498181818	n/a	n/a	n/a	Sensory-event,(Intended-effect,Cue),((Def-expand/Cross-only,(Description/A white fixation cross on a black background in the center of the screen.,Visual-presentation,(Background-view,Black),(Foreground-view,(Center-of,Computer-screen),(Cross,White)))),Onset),((Def-expand/Fixation-task,(Description/Fixate on the cross at the screen center.,Experiment-participant,Task,(Cross,Fixate))),Onset),((Def-expand/Circle-only,(Description/A white circle on a black background in the center of the screen.,Visual-presentation,(Background-view,Black),(Foreground-view,((Center-of,Computer-screen),(Circle,White))))),Offset),Experimental-trial/3,(Image,Pathname/cross.bmp)
33.8398181818	n/a	unfamiliar_face	first_show	Sensory-event,Experimental-stimulus,((Def-expand/Face-image,(Description/A happy or neutral face in frontal or three-quarters frontal pose with long hair cropped presented as an achromatic foreground image on a black background with a white fixation cross superposed.,Visual-presentation,(Background-view,Black),(Foreground-view,((Center-of,Computer-screen),(Cross,White)),(Grayscale,(Face,Hair,Image))))),Onset),((Def-expand/Blink-inhibition-task,(Description/Do not blink while the face image is displayed.,Experiment-participant,Inhibit-blinks,Task)),Onset),((Def-expand/Cross-only,(Description/A white fixation cross on a black background in the center of the screen.,Visual-presentation,(Background-view,Black),(Foreground-view,(Center-of,Computer-screen),(Cross,White)))),Offset),Experimental-trial/3,(Image,Pathname/u055.bmp)
